Experimental Item,SS,SP,SSS,SPS,SSP,SPP,SSA,SPA
The advertisement from the office of the real estate agent,The advertisement from the office,The advertisement from the offices,The advertisement from the office of the real estate agent,The advertisement from the offices of the real estate agent,The advertisement from the office of the real estate agents,The advertisement from the offices of the real estate agents,The advertisement from the office here,The advertisement from the offices here
The announcement by the director of the foundation,The announcement by the director,The announcement by the directors,The announcement by the director of the foundation,The announcement by the directors of the foundation,The announcement by the director of the foundations,The announcement by the directors of the foundations,The announcement by the director today,The announcement by the directors today
The article by the writer for the magazine,The article by the writer,The article by the writers,The article by the writer for the magazine,The article by the writers for the magazine,The article by the writer for the magazines,The article by the writers for the magazines,The article by the writer yesterday,The article by the writers yesterday
The author of the speech about the city,The author of the speech,The author of the speechs,The author of the speech about the city,The author of the speeches about the city,The author of the speech about the cities,The author of the speeches about the cities,The author of the speech yesterday,The author of the speeches yesterday
The computer with the program for the experiment,The computer with the program,The computer with the programs,The computer with the program for the experiment,The computer with the programs for the experiment,The computer with the program for the experiments,The computer with the programs for the experiments,The computer with the program here,The computer with the programs here
The contract for the actor in the film,The contract for the actor,The contract for the actors,The contract for the actor in the film,The contract for the actors in the film,The contract for the actor in the films,The contract for the actors in the films,The contract for the actor there,The contract for the actors there
The discussion about the topic of the paper,The discussion about the topic,The discussion about the topics,The discussion about the topic of the paper,The discussion about the topics of the paper,The discussion about the topic of the papers,The discussion about the topics of the papers,The discussion about the topic today,The discussion about the topics today
The dog on the path around the lake,The dog on the path,The dog on the paths,The dog on the path around the lake,The dog on the paths around the lake,The dog on the path around the lakes,The dog on the paths around the lakes,The dog on the path here,The dog on the paths here
The friend of the editor of the magazine,The friend of the editor,The friend of the editors,The friend of the editor of the magazine,The friend of the editors of the magazine,The friend of the editor of the magazines,The friend of the editors of the magazines,The friend of the editor yesterday,The friend of the editors yesterday
The gift for the daughter of the visitor,The gift for the daughter,The gift for the daughters,The gift for the daughter of the visitor,The gift for the daughters of the visitor,The gift for the daughter of the visitors,The gift for the daughters of the visitors,The gift for the daughter there,The gift for the daughters there
The helicopter for the flight over the canyon,The helicopter for the flights,The helicopter for the flight over the canyon,The helicopter for the flights over the canyon,The helicopter for the flight over the canyons,The helicopter for the flights over the canyons,The helicopter for the flight today,The helicopter for the flights today,The helicopter for the flight
The article about the conference of the government,The article about the conferences,The article about the conference of the government,The article about the conferences of the government,The article about the conference of the governments,The article about the conferences of the governments,The article about the conference yesterday,The article about the conferences yesterday,The article about the conference
The letter from the friend of my cousin,The letter from the friends,The letter from the friend of my cousin,The letter from the friends of my cousin,The letter from the friend of my cousins,The letter from the friends of my cousins,The letter from the friend here,The letter from the friends here,The letter from the friend
The manual by the developer of the machine,The manual by the developers,The manual by the developer of the machine,The manual by the developers of the machine,The manual by the developer of the machines,The manual by the developers of the machines,The manual by the developer there,The manual by the developers there,The manual by the developer
The rope on the dock of the yacht,The rope on the docks,The rope on the dock of the yacht,The rope on the docks of the yacht,The rope on the dock of the yachts,The rope on the docks of the yachts,The rope on the dock here,The rope on the docks here,The rope on the dock
The meal for the guest of the inn-keeper,The meal for the guests,The meal for the guest of the inn-keeper,The meal for the guests of the inn-keeper,The meal for the guest of the inn-keepers,The meal for the guests of the inn-keepers,The meal for the guest today,The meal for the guests today,The meal for the guest
The museum with the picture of the poet,The museum with the pictures,The museum with the picture of the poet,The museum with the pictures of the poet,The museum with the picture of the poets,The museum with the pictures of the poets,The museum with the picture there,The museum with the pictures there,The museum with the picture
The design for the engine of the plane,The design for the engines,The design for the engine of the plane,The design for the engines of the plane,The design for the engine of the planes,The design for the engines of the planes,The design for the engine here,The design for the engines here,The design for the engine
The payment for the service to the school,The payment for the services,The payment for the service to the school,The payment for the services to the school,The payment for the service to the schools,The payment for the services to the schools,The payment for the service yesterday,The payment for the services yesterday,The payment for the service
The photo of the girl with the baby,The photo of the girls,The photo of the girl with the baby,The photo of the girls with the baby,The photo of the girl with the babies,The photo of the girls with the babies,The photo of the girl there,The photo of the girls there,The photo of the girl
The post of the platform for the event,The post of the platform for the event,The post of the platforms for the event,The post of the platform for the events,The post of the platforms for the events,The post of the platform today,The post of the platforms today,The post of the platform,The post of the platforms
The prescription by the doctor from the clinic,The prescription by the doctor from the clinic,The prescription by the doctors from the clinic,The prescription by the doctor from the clinics,The prescription by the doctors from the clinics,The prescription by the doctor here,The prescription by the doctors here,The prescription by the doctor,The prescription by the doctors
The producer of the movie about the artist,The producer of the movie about the artist,The producer of the movies about the artist,The producer of the movie about the artists,The producer of the movies about the artists,The producer of the movie yesterday,The producer of the movies yesterday,The producer of the movie,The producer of the movies
The publisher of the book about the king,The publisher of the book about the king,The publisher of the books about the king,The publisher of the book about the kings,The publisher of the books about the kings,The publisher of the book today,The publisher of the books today,The publisher of the book,The publisher of the books
The setting for the movie about the astronomer,The setting for the movie about the astronomer,The setting for the movies about the astronomer,The setting for the movie about the astronomers,The setting for the movies about the astronomers,The setting for the movie there,The setting for the movies there,The setting for the movie,The setting for the movies
The statue in the garden near the mansion,The statue in the garden near the mansion,The statue in the gardens near the mansion,The statue in the garden near the mansions,The statue in the gardens near the mansions,The statue in the garden here,The statue in the gardens here,The statue in the garden,The statue in the gardens
The switch for the light in the hall,The switch for the light in the hall,The switch for the lights in the hall,The switch for the light in the halls,The switch for the lights in the halls,The switch for the light there,The switch for the lights there,The switch for the light,The switch for the lights
The telegram to the friend of the soldier,The telegram to the friend of the soldier,The telegram to the friends of the soldier,The telegram to the friend of the soldiers,The telegram to the friends of the soldiers,The telegram to the friend yesterday,The telegram to the friends yesterday,The telegram to the friend,The telegram to the friends
The threat to the president of the company,The threat to the president of the company,The threat to the presidents of the company,The threat to the president of the companies,The threat to the presidents of the companies,The threat to the president today,The threat to the presidents today,The threat to the president,The threat to the presidents
The tour of the museum near the monument,The tour of the museum near the monument,The tour of the museums near the monument,The tour of the museum near the monuments,The tour of the museums near the monuments,The tour of the museum there,The tour of the museums there,The tour of the museum,The tour of the museums
The train to the city on the lake,The train to the cities on the lake,The train to the city on the lakes,The train to the cities on the lakes,The train to the city yesterday,The train to the cities yesterday,The train to the city,The train to the cities,The train to the city on the lake
The truck on the bridge over the stream,The truck on the bridges over the stream,The truck on the bridge over the streams,The truck on the bridges over the streams,The truck on the bridge here,The truck on the bridges here,The truck on the bridge,The truck on the bridges,The truck on the bridge over the stream
The cat of my neighbour in the tree,The cat of my neighbours in the tree,The cat of my neighbour in the trees,The cat of my neighbours in the trees,The cat of my neighbour today,The cat of my neighbour today,The cat of my neighbour,The cat of my neighbours,The cat of my neighbour in the tree
The bowl with the fruit on the table,The bowl with the fruits on the table,The bowl with the fruit on the tables,The bowl with the fruits on the tables,The bowl with the fruit there,The bowl with the fruits there,The bowl with the fruit,The bowl with the fruits,The bowl with the fruit on the table
The letter from our penpal beside the book,The letter from our penpals beside the book,The letter from our penpal beside the books,The letter from our penpals beside the books,The letter from our penpal today,The letter from our penpals today,The letter from our penpal,The letter from our penpals,The letter from our penpal beside the book
The lamp with the tassle over the plant,The lamp with the tassles over the plant,The lamp with the tassle over the plants,The lamp with the tassles over the plants,The lamp with the tassle here,The lamp with the tassles here,The lamp with the tassle,The lamp with the tassles,The lamp with the tassle over the plant
The book about the warrior of the river,The book about the warriors of the river,The book about the warrior of the rivers,The book about the warriors of the rivers,The book about the warrior there,The book about the warriors there,The book about the warrior,The book about the warriors,The book about the warrior of the river
The host of the podcast for the news station,The host of the podcasts for the news station,The host of the podcast for the news stations,The host of the podcasts for the news stations,The host of the podcast yesterday,The host of the podcasts yesterday,The host of the podcast,The host of the podcasts,The host of the podcast for the news station
The lawyer of my uncle for the sister,The lawyer of my uncles for the sister,The lawyer of my uncle for the sisters,The lawyer of my uncles for the sisters,The lawyer of my uncle today,The lawyer of my uncles today,The lawyer of my uncle,The lawyer of my uncles,The lawyer of my uncle for the sister
The shoe under the chair of the guest,The shoe under the chairs of the guest,The shoe under the chair of the guests,The shoe under the chairs of the guests,The shoe under the chair here,The shoe under the chairs here,The shoe under the chair,The shoe under the chairs,The shoe under the chair of the guest
The tomato on the vine under the cloud,The tomato on the vine under the clouds,The tomato on the vines under the clouds,The tomato on the vine there,The tomato on the vines there,The tomato on the vine,The tomato on the vines,The tomato on the vine under the cloud,The tomato on the vines under the cloud
The dog of the farmer in the field,The dog of the farmer in the fields,The dog of the farmers in the fields,The dog of the farmer yesterday,The dog of the farmers yesterday,The dog of the farmer,The dog of the farmers,The dog of the farmer in the field,The dog of the farmers in the field
The shark around the island with the monkey,The shark around the island with the monkeys,The shark around the islands with the monkeys,The shark around the island here,The shark around the islands here,The shark around the island,The shark around the islands,The shark around the island with the monkey,The shark around the islands with the monkey
The balcony of the hotel over the car,The balcony of the hotel over the cars,The balcony of the hotels over the cars,The balcony of the hotel there,The balcony of the hotels there,The balcony of the hotel,The balcony of the hotels ,The balcony of the hotel over the car,The balcony of the hotels over the car
The e-mail by the member to the executive,The e-mail by the member to the executives,The e-mail by the members to the executives,The e-mail by the member today,The e-mail by the members today,The e-mail by the member,The e-mail by the members,The e-mail by the member to the executive,The e-mail by the members to the executive
The recipe of the baker with the fruit,The recipe of the baker with the fruits,The recipe of the bakers with the fruits,The recipe of the baker there,The recipe of the bakers there,The recipe of the baker,The recipe of the bakers,The recipe of the baker with the fruit,The recipe of the bakers with the fruit
The cookie in the bowl for the grandkid,The cookie in the bowl for the grandkids,The cookie in the bowls for the grandkids,The cookie in the bowl here,The cookie in the bowls here,The cookie in the bowl,The cookie in the bowls,The cookie in the bowl for the grandkid,The cookie in the bowls for the grandkid
The book in the library(ies) about the tea,The book in the library about the teas,The book in the libraries about the teas,The book in the library there,The book in the libraries there,The book in the library,The book in the libraries,The book in the library about the tea,The book in the libraries about the tea
The toy from the shelf beside the poster,The toy from the shelf beside the posters,The toy from the shelves beside the posters,The toy from the shelf there,The toy from the shelves there,The toy from the shelf,The toy from the shelves,The toy from the shelf beside the poster,The toy from the shelves beside the poster
The tunnel below the basement of the tower,The tunnel below the basement of the towers,The tunnel below the basements of the towers,The tunnel below the basement there,The tunnel below the basements there,The tunnel below the basement,The tunnel below the basements,The tunnel below the basement of the tower,The tunnel below the basements of the tower
The passenger on the train through the country,The passenger on the trains through the countries,The passenger on the train there,The passenger on the trains there,The passenger on the train,The passenger on the trains,The passenger on the train through the country,The passenger on the trains through the country,The passenger on the train through the countries
The city in the valley with the flowers,The city in the valleys with the flowers,The city in the valley wthere,The city in the valleys there,The city in the valley,The city in the valleys,The city in the valley with the flower,The city in the valleys with the flower,The city in the valley with the flowers
The map on the desk under the light,The map on the desks under the lights,The map on the desk there,The map on the desks there,The map on the desk,The map on the desks,The map on the desk under the light,The map on the desks under the light,The map on the desk under the lights
The cat with a bell on the collar,The cat with a bells on the collars,The cat with a bell there,The cat with a bells there,The cat with a bell,The cat with a bells,The cat with a bell on the collar,The cat with a bells on the collar,The cat with a bell on the collars
The start of the race over the mountain,The start of the races over the mountains,The start of the race there,The start of the races there,The start of the race,The start of the races,The start of the race over the mountain,The start of the races over the mountain,The start of the race over the mountains
The conversation about the student in hallway,The conversation about the students in hallways,The conversation about the student there,The conversation about the students there,The conversation about the student,The conversation about the students,The conversation about the student in hallway,The conversation about the students in hallway,The conversation about the student in hallways
The hospital in the building near the garden,The hospital in the buildings near the gardens,The hospital in the building there,The hospital in the buildings there,The hospital in the building,The hospital in the buildings,The hospital in the building near the garden,The hospital in the buildings near the garden,The hospital in the building near the gardens
The spy with the map to the event,The spy with the maps to the events,The spy with the map there,The spy with the maps there,The spy with the map,The spy with the maps,The spy with the map to the event,The spy with the maps to the event,The spy with the map to the events
The book about the event in the city,The book about the events in the cities,The book about the event there,The book about the events there,The book about the event,The book about the events,The book about the event in the city,The book about the events in the city,The book about the event in the cities
The pillow with the ruffles on the couch,The pillow with the ruffles on the couches,The pillow with the ruffle there,The pillow with the ruffles there,The pillow with the ruffle,The pillow with the ruffles,The pillow with the ruffle on the couch,The pillow with the ruffles on the couch,The pillow with the ruffle on the couches
The icing on the cake with the candles,The icing on the cake there,The icing on the cakes there,The icing on the cake,The icing on the cakes,The icing on the cake with the candle,The icing on the cakes with the candle,The icing on the cake with the candles,The icing on the cakes with the candles
The stamp in the corner of the passport,The stamp in the corner there,The stamp in the corners there,The stamp in the corner,The stamp in the corners,The stamp in the corner of the passport,The stamp in the corners of the passport,The stamp in the corner of the passports,The stamp in the corners of the passports
The blender on the counter near the outlet,The blender on the counter there,The blender on the counters there,The blender on the counter,The blender on the counters,The blender on the counter near the outlet,The blender on the counters near the outlet,The blender on the counter near the outlets,The blender on the counters near the outlets
The tea in the tin with the flowers,The tea in the tin there,The tea in the tins there,The tea in the tin,The tea in the tins,The tea in the tin with the flower,The tea in the tins with the flower,The tea in the tin with the flowers,The tea in the tins with the flowers
The castle with the bridge over the river/over there,The castle with the bridge there,The castle with the bridges there,The castle with the bridge,The castle with the bridges,The castle with the bridge over the river,The castle with the bridges over the river,The castle with the bridge over the rivers,The castle with the bridges over the rivers
The blueprint on the table by the plant/here,The blueprint on the table there,The blueprint on the tables there,The blueprint on the table,The blueprint on the tables,The blueprint on the table by the plant,The blueprint on the tables by the plant,The blueprint on the table by the plants,The blueprint on the tables by the plants
The strategy for the invasion of the country/there,The strategy for the invasion there,The strategy for the invasions there,The strategy for the invasion,The strategy for the invasions,The strategy for the invasion of the country,The strategy for the invasions of the country,The strategy for the invasion of the countries,The strategy for the invasions of the countries
The attitude toward the election for the president/there,The attitude toward the election there,The attitude toward the elections there,The attitude toward the election,The attitude toward the elections,The attitude toward the election for the president,The attitude toward the elections for the president,The attitude toward the election for the presidents,The attitude toward the elections for the presidents
The ticket for the trip through the city/there,The ticket for the trip there,The ticket for the trips there,The ticket for the trip,The ticket for the trips,The ticket for the trip through the city,The ticket for the trips through the city,The ticket for the trip through the cities,The ticket for the trips through the cities
The message from the fan of the writer/here,The message from the fan there,The message from the fans there,The message from the fan,The message from the fans,The message from the fan of the writer,The message from the fans of the writer,The message from the fan of the writers,The message from the fans of the writers
The meaning of the symbol on the flag/there,The meaning of the symbols there,The meaning of the symbol,The meaning of the symbols,The meaning of the symbol on the flag,The meaning of the symbols on the flag,The meaning of the symbol on the flags,The meaning of the symbols on the flags,The meaning of the symbol there
The feeling toward the recipient of the award,The feeling toward the recipients there,The feeling toward the recipient,The feeling toward the recipients,The feeling toward the recipient of the award,The feeling toward the recipients of the award,The feeling toward the recipient of the awards,The feeling toward the recipients of the awards,The feeling toward the recipient there
The attitude of the senator toward the bill,The attitude of the senators there,The attitude of the senator,The attitude of the senators,The attitude of the senator toward the bill,The attitude of the senators toward the bill,The attitude of the senator toward the bills,The attitude of the senators toward the bills,The attitude of the senator there
The mood of the critic of the poem/yesterday,The mood of the critics there,The mood of the critic,The mood of the critics,The mood of the critic of the poem,The mood of the critics of the poem,The mood of the critic of the poems,The mood of the critics of the poems,The mood of the critic there
The pattern on the carpet in the room/here,The pattern on the carpets there,The pattern on the carpet,The pattern on the carpets,The pattern on the carpet in the room,The pattern on the carpets in the room,The pattern on the carpet in the rooms,The pattern on the carpets in the rooms,The pattern on the carpet there
The call of the bird through the cloud,The call of the birds there,The call of the bird,The call of the birds,The call of the bird through the cloud,The call of the birds through the cloud,The call of the bird through the clouds,The call of the birds through the clouds,The call of the bird there
The sound of the jackhammer outside the window,The sound of the jackhammers there,The sound of the jackhammer,The sound of the jackhammers,The sound of the jackhammer outside the window,The sound of the jackhammers outside the window,The sound of the jackhammer outside the windows,The sound of the jackhammers outside the windows,The sound of the jackhammer there
The sighting of the fire on the mountain,The sighting of the fires there,The sighting of the fire,The sighting of the fires,The sighting of the fire on the mountain,The sighting of the fires on the mountain,The sighting of the fire on the mountains,The sighting of the fires on the mountains,The sighting of the fires there
The smell of the sandwich(es) on the napkin/here,The smell of the sandwiches there,The smell of the sandwich,The smell of the sandwiches,The smell of the sandwich on the napkin,The smell of the sandwiches on the napkin,The smell of the sandwich on the napkins,The smell of the sandwiches on the napkins,The smell of the sandwich here
The cure for the disease in the city/there,The cure for the diseases there,The cure for the disease,The cure for the diseases,The cure for the disease in the city,The cure for the diseases in the city,The cure for the disease in the cities,The cure for the diseases in the cities,The cure for the disease there
